lat,lon
52.347016,4.897695
52.346616,4.897406
52.34709,4.896892
52.347049,4.896935
52.34672,4.895332
52.346677,4.896182
52.346603,4.896637
52.34665,4.896709
52.347158,4.894898
52.347097,4.896153
52.347128,4.895512
52.347116,4.895818
52.368326,4.896363
52.368355,4.896179
52.369612,4.901005
52.36653,4.901272
52.366384,4.90124
52.36641,4.90083
52.366309,4.900925
52.366226,4.900591
52.36633,4.900411
52.366342,4.900548
52.367479,4.902193
52.367836,4.902596
52.365818,4.892928
52.366151,4.893649
52.365973,4.893638
52.365832,4.895885
52.365782,4.895891
52.365798,4.895858
52.366316,4.895891
52.366263,4.895903
52.366235,4.89587
52.365232,4.897093
52.365225,4.897867
52.36506,4.89792
52.364775,4.895186
52.365061,4.896032
52.365021,4.895997
52.35295,4.892822
52.353071,4.892682
52.353183,4.893292
52.353132,4.893171
52.353142,4.893108
52.353284,4.894235
52.353253,4.894012
52.353233,4.893977
52.353053,4.893684
52.35305,4.893615
52.353218,4.893741
52.353194,4.893679
52.352753,4.902871
52.353088,4.90257
52.353212,4.902635
52.353435,4.902341
52.353596,4.902324
52.353562,4.902341
52.353759,4.902065
52.353806,4.902035
52.353927,4.902143
52.353953,4.901966
52.353981,4.902038
52.353935,4.902037
52.354611,4.901326
52.354603,4.901511
52.354635,4.90156
52.354385,4.901699
52.354152,4.901721
52.354216,4.901643
52.354205,4.901677
52.355219,4.90083
52.355065,4.900978
52.355036,4.900979
52.354611,4.900202
52.354567,4.900181
52.354674,4.900528
52.354812,4.900855
52.354742,4.900751
52.354763,4.900809
52.354197,4.899062
52.354344,4.899455
52.354433,4.899759
52.359393,4.892945
52.359927,4.902055
52.360042,4.902662
52.359241,4.896923
52.359252,4.896504
52.357341,4.899584
52.358049,4.899062
52.358455,4.89898
52.35877,4.89885
52.359755,4.898752
52.360731,4.89964
52.360484,4.899662
52.360451,4.899754
52.306113,5.011631
52.306519,5.011378
52.305734,5.012014
52.305213,5.013037
52.305407,5.012498
52.307823,5.010801
52.306947,5.01109
52.307381,5.010926
52.304701,5.01662
52.304702,5.016943
52.304661,5.016803
52.304389,5.015424
52.304187,5.014766
52.304162,5.014614
52.30425,5.000071
52.307584,5.003594
52.307719,5.003367
52.307074,5.004066
52.306639,5.004362
52.306366,5.004272
52.306205,5.004113
52.306094,5.004156
52.309568,5.035003
52.30943,5.03519
52.31018,5.034584
52.310239,5.035057
52.31027,5.035068
52.310031,5.034807
52.310077,5.034944
52.312688,5.02739
52.312684,5.027272
52.310272,5.021364
52.310262,5.021277
52.310433,5.022456
52.310331,5.022086
52.310258,5.022085
52.313755,5.023567
52.31383,5.023215
